name,ownerName,category,subcategory,line,message,area,city,state,country,zipcode,theme,paidAmount,featuredTier,status,durationDays,likes,clicks,reviewCount,phone,email,website,location,instagram,facebook,tiktok,linkedin,whatsapp,telegram,rating,googleMapsUrl,image
Call Cleaning Collection,Call Cleaning Collection,Services,Cleaning,Call Cleaning Collection is a local cleaning business serving the area.,,,Arlington,VA,USA,22202,paper,19.99,bronze,published,90,134,524,208,(703) 810-3604,,https://callcleaningcollection.com/,"3400 Potomac Ave, Arlington, VA 22202, USA",,,,,,,4.9,https://maps.google.com/?cid=14978225202541942823,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3njOKbaXU0RhUi8Mht4j8K75aCstaBkRAUcKkWlVeX0Z1qmgR9uOuSPJ_POa-yjJB35lzr1ffs96GX2iwEN9MgTqAvqQtv78qw1-meHYjx2t-aOdZezOsl8f6REb03Q5FtDFyjtthLzwEmMFmHeBhSi1q-ED_XnWxxF6cz-7xsu2yvs9wq4cFy7JTYr8oX2fLlO25o2btIwYJqQYqUE31teXcuH9czMh6RtXB8rsf6QuPUGAET3DIbWbD_ImUB-JBaG7e_EnzOkAaDk0bRMgzObpFJmKoIU3KgMbC2nbB2_hiaGgSTB0wH-9eb24EHZ5LaUcfx-kCevy5a_KZOsZtIRVgcBVaVHtBkw9fb2XFIRvlTgtu2j7O0n6DVMHjDTeh8ZwntoZS3wlY53aTwwJOFoK1pS5DqvILDtzzRA6JPk5-EZjmcmCQRe9eWdgI9o&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Arlington White Glove Cleaners,Arlington White Glove Cleaners,Services,Cleaning,Arlington White Glove Cleaners is a local cleaning business serving the area.,,,Arlington,VA,USA,22202,cyan,19.99,bronze,published,90,165,281,27,(240) 433-5395,,http://www.arlingtonwhiteglovecleaners.com/,"3400 S Clark St, Arlington, VA 22202, USA",,,,,,,4.9,https://maps.google.com/?cid=7436467208189074981,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3m9lcgcvK3JiVBE7EH1Y--E_sh196QZl7RagItxUqCbpXwc2_PtU1LrOXpZQRs46R9Ia6QW6mZA8eSLltw36ld388pH4KhnrH-M_Un87qEGrXzPlSzmKGhTdcda9hhgR6IYfp4ZclIyoemjQNtYiff8-EhH2m8XzJwrXOCLraqlpTOnaNL2koQDcDL6ET4fy_W7ED0Wh_dyeukUKnTac3vFJNwDj3ZsPBDGWwpZ231ghBH6hLwT5y787kexk8WPo3UQ_JuJ7djEcmJPs_95V_z1AouXHJtpMceQOXaSGRxmk9_AuC9_2BzUHXR_VP-2rJ447jh13nNcacu4qjxsWeOQ4sbkCUUK00KyE9wOK8TRdHu1g5NwsKguLPjJZKnLM6ZW_7RFYQvllyS7l6GgMSzmMKn02Ypon4jCjz_YukUJ6Dyk&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Spekless Cleaning,Spekless Cleaning,Services,Cleaning,Spekless Cleaning is a local cleaning business serving the area.,,,Arlington,VA,USA,22203,yellow,19.99,bronze,published,90,65,410,342,(571) 882-2712,,http://www.spekless.com/,"4812 7th St N, Arlington, VA 22203, USA",,,,,,,4.8,https://maps.google.com/?cid=9031284545654072946,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3m2DzUmM6vaaJPJb04VJT834ZC3lLeV7d1xrq6hQhEHpeySq8p7ABBKpdVC0SwM2KgYZyyO110cqg2ecNlT3Dcg2dgmrA55EaZkrowhOjk25dBgi4aN84x61PDtoTxe_Ob3lmJLjNRtJrlTA80_aCyAohOUyL-6vLuKOnAgaUS0-O3JeqHDbbe-6jJT6bRkrdgt5ch6aIsR5dTnTgrASqlNOt0aa3ZEccfRK1nabT6BIl0B53S6ZcvFDvTWdj1Ku915yDZkpwmjoVe5GBIRPqP95ShxwdgYQE_h1n-CR0WBbAteS6DIuvc5z7LrGpBEI0pEZUG_ja3jpgh1_B55FGAofJf1ScH34qV5xzsZR5XJTxXJo_bR5uPxH_aBMlIRNUuddK-BdEexbILmPjBtvN0AiVkU07QHOEPhWugUt9Hoi1Zs27Cnc8ioTXhdFSFT&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Arlington Cleaning Service,Arlington Cleaning Service,Services,Cleaning,Arlington Cleaning Service is a local cleaning business serving the area.,,,Arlington,VA,USA,22201,pink,19.99,gold,published,90,123,872,33,(703) 677-0662,,http://www.arlington-cleaning.com/,"3100 Clarendon Blvd Suite 200, Arlington, VA 22201, USA",,,,,,,4.7,https://maps.google.com/?cid=2264481830139165701,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3m31Anm2-bdVUyraGRI8ZhQznClq_FPrRM0xKclPyeTtPKMyBInYbS3Shi75wEhJcFJoLqLLs5WqboXXpDvqMkCuuDyzuzpu_6LCxoQZlVNA3E9u_TbOYnlvuFmRuZTgcHb_uCoS5Kjidak-Otho_rGvtytM3-Ddz-OsaQkjY2HcEtXu7uiDxNFXVfMnaolqldvL5fpomCzwyJu0neZvdE4k8XLE4cK_hvA_I59K-JiM1vGJGqCe5bHFDI36hhn9-dOwvjurFFjzuwgH7bTDD6aEiYIiV-NDaIJKjfs4aHUmeu39O37djz71jKrjwRD-9CwFSCcp113obZzC0JDLwXgpk1Oyrr2OkINedqf_9YpoEotLSTqU2KNY_nsHmFHF9iCiK5oX0kIUI-T91MWvktb-CoAAcL0-Helo_LcEPD29wHi&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Maids in Brown LLC,Maids in Brown LLC,Services,Cleaning,Maids in Brown LLC is a local cleaning business serving the area.,,,Arlington,VA,USA,22204,blueprint,19.99,bronze,published,90,183,481,215,(571) 466-6900,,https://www.maidsinbrown.com/,"5555 Columbia Pike Ste 208, Arlington, VA 22204, USA",,,,,,,4.8,https://maps.google.com/?cid=14448327823705374829,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3nze3Yo6BwpU4o7SY6hTkxVA0XF6u46E8LatcSIDyQNb9m2lUvq2TvlifwpSihnjIJbNH0lZA8SYPC-cXeNS4g73XP7CEjFLQ2F_8GieJHb8eAuUdEp6eMYzXlfc4Q2awXxMgT9tPXG7BvyS6O-KpGLvltRUmLRr_RXMWUjWUK48vryrbfU_FzeV2Hyyin6EUcbb6VNN55ToPj-Qfwx86pEabwY6oEz5WIVIS-Mf5C-QwsA167pejDy54wAD3FxThbCyEz5AVtMWHH6-lI44NJkdDcjF7J2rkfd8KkwpnvhlrtyamIq3zPuR6JZ9TY9JljqNZmS21L0qtkqNu4Iyfm1T8hXyC1_A4hoamCTG74_-JA8qGK6daEdQtu_HV-_xfjdeeXNk-BPHdjzrex6rrPnFfBWTEQFLJohmooD04ZA_kpi4jPLObkMPq9ntw&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Arlington Home Cleaning,Arlington Home Cleaning,Services,Cleaning,Arlington Home Cleaning is a local cleaning business serving the area.,,,Arlington,VA,USA,22201,cyan,19.99,gold,published,90,174,138,54,(571) 350-0866,,http://arlingtonhomecleaning.com/,"4650 Washington Blvd, Arlington, VA 22201, USA",,,,,,,4.6,https://maps.google.com/?cid=13996892448994272774,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3kJ8TDzMt8w5Lv4xDyV2hKKZ0oBYeMA4qOQ0W7zaNadaA2drLlN6Xo9cx9BQyv3p4lu2QgDiIHjf4sTSsI296sgGesTUAiNlWKzyCTXHqFRszbZCvQAokIMQ382DevZRmfabjLCTYAPIg0fsqsYuI2ofbrICW_3xmkE4HKn5oEl1NW5ZRDc5nj_2T3OzEaLuWf0p2l2zaeQ6Pz594jCn-vHr05sk1D5nNiQKgvTuRJEOCW2QjMltON3keC5k5v3CvBL1TwsxFFJCI4GXYauH0XbeGRB60ual5OS2tjqja8PcxbW4YYgrFiYtxMSq6HTRiWdw1Xr4yqfdesF2ULDfE7k15GBcmxDR0PgPzenghlbNWLqFzcAd2orWsrfx9QkyupAPZ6iACH0EmknUWZBYF2iQ1hx69y50-JINIRac2-oQb4hEpH82vGtJz0v-Q2d&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
A Cleaning Service Inc,A Cleaning Service Inc,Services,Cleaning,A Cleaning Service Inc is a local cleaning business serving the area.,,,Arlington,VA,USA,22204,ticket,19.99,silver,published,90,138,873,90,(703) 892-8648,,https://acleaningserviceinc.com/,"3701 5th St S Apt 203, Arlington, VA 22204, USA",,,,,,,4.9,https://maps.google.com/?cid=3345191817778456310,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3k60ks3QdH0r2_9OSoC6A2LJ3XZmOSawqx_U1ZUa1EVGT26lKKm7nCDaC9JvCFwiBPriBBcSCuDqGhTNmLSoSHi61hCd0ohuHZ-IAx0tbqpoWcqh_AdzqNfzVZZn9THqomJ5sJKb18Dtemi0XKAJ8bAabNEn2vOlDqER2Yvkizlg8pV8tNf8u4Vh4MHnedEcjrTjbnRf2Qj7lbbC9BZob1H_WJC1d4oRkHMCSaZ0VikyN1RzCx3ENmKD9uSDV9UzEOcnTWeOLAZMcH7agCSLz_IZ_N4GSX-9_NVmaFIgss_YGnAO5swCh7MjVum5p6s3FIjZ6Y1VW-mlgpKymH2x4WNuo_BQXWesNAJAkeM4uY1Ry5BqvPxiXoa0HVqLMDp3xctULqXIoMiEOgwwkVVkP0TQ2QJmMZgYSC0zKz9RnFjNg&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Costina Cleaning Services LLC,Costina Cleaning Services LLC,Services,Cleaning,Costina Cleaning Services LLC is a local cleaning business serving the area.,,,Arlington,VA,USA,22204,paper,19.99,bronze,published,90,193,561,79,(571) 697-8300,,https://costinacleaningservices.com/arlington-va/,"5555 Columbia Pike Ste 208A, Arlington, VA 22204, USA",,,,,,,5,https://maps.google.com/?cid=16269554648601380262,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3lPooFodAQvIB7AAQTzvCFyTWZOwFdnsPUSuP7oXCtfPXgQDCuEOH4NQ9rh2FyeRL24e1LgXeiJG_nv9vIT7oR0N33tWzGhaFvy7GJ6PrDj0jmflQ4KY7O0X-yFofJFly7uyYXtHwZIYKCeOiZS1u_W5Ve4yV-A-BtsprpRvI4nHWnOJGkZZO6nTfXmLnj9oAr8g0DYpjhRlAfFwOk10pAj31THSXNtcJW6IL8KpAjX11HRHt0Pi-bHUHMCjplCZgSfumq4_DsRaG0Gmuyj-4befbvBcQt_AA1otPUKfIhCrH80nC6lCkL0hbPmFA-DHp8fxYIEWke4axLpLXBgIUrf586CFkz_QhYRVOW0-c3xeTciJGsOMMjYYzmJN60RxJXMvWFgQYzecFc8OjcKdMviL36_7O5WTq6vGSBfOkcUklMsl8dEygC85aLqHvtv&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Molly Maid of Arlington and Alexandria,Molly Maid of Arlington and Alexandria,Services,Cleaning,Molly Maid of Arlington and Alexandria is a local cleaning business serving the area.,,,Arlington,VA,USA,22201,cream,19.99,gold,published,90,193,663,24,(703) 952-7840,,https://www.mollymaid.com/locations/arlington-va/?cid=LSTL_MLY000192&utm_source=gmb&utm_campaign=local&utm_medium=organic,"1032 N Randolph St, Arlington, VA 22201, USA",,,,,,,4.9,https://maps.google.com/?cid=13972263990668769753,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3kg5aZSxxeBg7hJtde5LFJ4DStSZs0vdf4YUmGVfote2wlyq-2VUhj9ACSPlIiO_JcrQ7M3MwCarrTALhBqebJxXo6KVHtucA0hI_SljEk6R3SlBzmsxwtevFksaD28pe4vO59ArRtVLv1F3y-zayUqbFdjp3oTFcNE4Vwe8GvZcBWQ2cSQdoJfjJsOD14a_qrvmw4kAcxiqxBUZU2-sZFJRz_4x5H-tOXZOZM1_z5L9czp7TcjPhObitkKBLWGI7AkxwQrRl_56nbNyZtKGXqZWDc7B6kHyEDCLN6nH7pRs6ZPDSyfSZa9o_ceAyUqdlMHOwcPyFQ2eVKkE-ubhxE_UxlYxLB6vfD1tsiqbHYwpzaCRCzpbPAPWrDV0Lbk9DfwQqZSPwpbY3g0kRg8TTfTxUnWksFRiCCo95br8-kAAb4_juOAM8LyNLHjcw&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
Nordland Cleaning Service Inc,Nordland Cleaning Service Inc,Services,Cleaning,Nordland Cleaning Service Inc is a local cleaning business serving the area.,,,Arlington,VA,USA,22204,blueprint,19.99,silver,published,90,193,897,72,(240) 603-0727,,http://nordlandcleaning.com/,"S Wakefield St, Arlington, VA 22204, USA",,,,,,,4.9,https://maps.google.com/?cid=2589104621499909141,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AaVGc3mTkuPZV6jGB64-FrXVX7ddfTF__rdgYqBIy6j_vHamDtF8eem-iz1r_xFl_q9IjnBN9V_baAHdCka7a1uHEUE0VO5hbEbZQTKThazXpMUVgoUQwmAgv-lWgjfjLZktHV9GZkaRmfCD__StCmH3iA3v_trYGPGnMsrcLSZRoEo86YgpQlSt5uq9WrERHAiiFtvsKo1i_NNs79LMJTL5_OR46GjpsIW9uPwt-tcKDESN1_w6gnZ6lN_CRSi27_3V3qrFivmNWsTE3L4QYqCRuJ55PfDiqnOM6MTCKEe_DxkC2SFucco2TokL2D8ySx0BoMRfS3QsZF8hw4FbFLaqRW1PtzzPl7Op4rv6Vbde-IFbMX_ZYDEhqb_RcjwQRWmCuV_8CLdPWaPSykokMZRI-1tdiJ6itzsMQ1uJUGblbsY7EA&key=AIzaSyBHFMyIqfo3syK0gckPbb0iPlMwjmLuebc
